id,registration,model_id,airline_id,location_id,livery,tags,remark,folder
112,B-5850,B737NG,CCD,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\大连航空\B-5850_海口
113,B-1732,B737NG,OKA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\奥凯航空\B-1732_海口
114,B-1988,B737NG,CDG,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\山东航空\B-1988_海口
115,B-5726,B737NG,CDG,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\山东航空\B-5726_海口
116,B-6988,B737NG,CDG,ZJHK,贵州习酒,Special Livery,,E:\摄像存档\航空摄影\B737NG\山东航空\B-6988_贵州习酒_海口
117,B-1107,B737NG,昆明航空,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\昆明航空\B-1107_海口
118,B-1326,B737NG,CJX,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\江西航空\B-1326_海口
119,B-1445,B737NG,HBH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\河北航空\B-1445_海口
120,B-1141,B737NG,CHH,ZJHK,蜜雪冰城,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\B737NG\海南航空\B-1141_蜜雪冰城_海口
121,B-1213,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-1213_海口
122,B-1726,B737NG,CHH,ZJSY,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-1726_三亚
123,B-1727,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-1727_海口
124,B-1979,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-1979_海口
125,B-209G,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-209G_海口
126,B-224Q,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-224Q_海口
127,B-5467,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5467_海口
128,B-5579,B737NG,CHH,ZJHK,薇旑美,Special Livery,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5579_薇旑美_海口
129,B-5620,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5620_海口
130,B-5623,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5623_海口
131,B-5636,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5636_海口
132,B-5638,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5638_海口
133,B-5711,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5711_海口
134,B-5853,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-5853_海口
135,B-6065,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-6065_海口
136,B-7377,B737NG,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\海南航空\B-7377_海口
137,B-5670,B737NG,CSZ,ZUCK,,,,E:\摄像存档\航空摄影\B737NG\深圳航空\B-5670_重庆
138,B-7167,B737NG,LKE,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\祥鹏航空\B-7167_海口
139,B-1348,B737NG,FZA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\福州航空\B-1348_海口
140,B-1192,B737NG,金鹏航空,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\金鹏航空\B-1192_海口
141,B-1313,B737NG,金鹏航空,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\金鹏航空\B-1313_海口
142,B-1577,B737NG,金鹏航空,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\金鹏航空\B-1577_海口
143,B-5685,B737NG,金鹏航空,ZJHK,瑞金号,Special Livery,,E:\摄像存档\航空摄影\B737NG\金鹏航空\B-5685_瑞金号_海口
144,B-1162,B737NG,CGN,ZJSY,,,,E:\摄像存档\航空摄影\B737NG\长安航空\B-1162_三亚
145,B-1162,B737NG,CGN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\长安航空\B-1162_海口
146,B-1482,B737NG,CGN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\长安航空\B-1482_海口
147,ER-BAQ,B747,FlyPro,ZJHK,,,,E:\摄像存档\航空摄影\B747\FlyPro\ER-BAQ_海口
148,B-1430,B777,CCA,ZJHK,,,,E:\摄像存档\航空摄影\B777\中国国际航空\B-1430_海口
149,B-209N,B787,CES,ZUUU,,,,E:\摄像存档\航空摄影\B787\中国东方航空\B-209N_双流
150,B-1356,B787,CXA,ZSAM,联合梦想号,Special Livery,,E:\摄像存档\航空摄影\B787\厦门航空\B-1356_联合梦想号_厦门
151,B-1119,B787,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B787\海南航空\B-1119_海口
152,B-1543,B787,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B787\海南航空\B-1543_海口
153,B-207V,B787,CHH,ZJHK,,,,E:\摄像存档\航空摄影\B787\海南航空\B-207V_海口
154,B-658K,C909,CSN,ZJHK,,,,E:\摄像存档\航空摄影\C909\中国南方航空\B-658K_海口
155,B-3108,E190,GCR,ZJHK,,,,E:\摄像存档\航空摄影\E190\天津航空\B-3108_海口
156,B-3267,E190,GCR,ZJHK,,,,E:\摄像存档\航空摄影\E190\天津航空\B-3267_海口
